timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Snowfall Amount
20150101T0000,28.400951,39.704952,32.736706,0,0
20150102T0000,31.06495,44.222954,36.85345,2.6,0
20150103T0000,32.558952,50.918953,41.531956,3.6000001,0
20150104T0000,35.780952,49.83895,38.9092,1.6,0
20150105T0000,30.308952,43.016953,34.771454,0,0
20150106T0000,31.514952,43.988953,38.02495,0,0
20150107T0000,36.98695,46.25695,40.812702,0,0
20150108T0000,35.85295,50.93695,44.641453,0.2,0
20150109T0000,43.55695,53.92495,48.353195,0.8000001,0
20150110T0000,52.75495,59.666954,55.972446,0.1,0
20150111T0000,38.89495,48.704952,41.381954,0.8,0
20150112T0000,36.842953,53.87095,43.4512,0,0
20150113T0000,38.37295,54.050953,46.595947,0,0
20150114T0000,39.668953,51.18895,46.094955,1.7,0
20150115T0000,39.74095,55.760952,47.421696,0,0
20150116T0000,41.57695,54.69895,46.811207,11.4,0
20150117T0000,30.830952,42.530952,38.89795,1.7,0
20150118T0000,29.984951,42.17095,34.4737,0,0
20150119T0000,30.452951,41.99095,36.58945,3.1,0
20150120T0000,34.08895,38.98495,36.111702,1.9,1.33
20150121T0000,32.72095,42.69295,36.1027,0,0
20150122T0000,29.552952,40.04695,33.76945,0,0
20150123T0000,32.036953,38.93095,35.60995,0,0
20150124T0000,30.614952,37.95895,33.794952,1.3000001,0.90999997
20150125T0000,30.29095,39.34495,34.394196,0,0
20150126T0000,34.43095,39.29095,36.973454,4.7,2.17
20150127T0000,35.49295,41.27095,37.940205,2.2,0.97999996
20150128T0000,34.412952,43.82695,38.828953,1.6000001,0.21000001
20150129T0000,34.79095,45.21295,40.799202,3.9999998,1.05
20150130T0000,31.244951,41.19895,36.575954,1.3000001,0.14
20150131T0000,32.954952,41.41495,36.595448,2.1,0.7
20150201T0000,32.774952,38.516953,34.83295,1.6000001,1.12
20150202T0000,31.514952,37.49095,34.279453,4.8,3.2200003
20150203T0000,29.552952,39.95695,33.94721,0,0
20150204T0000,28.724953,36.53695,31.733953,0,0
20150205T0000,28.562952,35.04295,31.9552,0,0
20150206T0000,28.886951,35.90695,31.811949,0,0
20150207T0000,25.358952,36.662952,30.24145,0,0
20150208T0000,27.06895,37.97695,31.628204,0,0
20150209T0000,29.606953,42.13495,35.47495,0,0
20150210T0000,28.742952,43.61095,36.047203,0,0
20150211T0000,31.082952,48.488953,38.01295,0,0
20150212T0000,31.640951,52.03495,40.9957,0,0
20150213T0000,38.516953,53.582954,44.480206,0,0
20150214T0000,42.836952,50.522953,46.31995,0.4,0
20150215T0000,38.44495,50.234955,44.29645,1.6,0
20150216T0000,35.72695,47.93095,40.29295,0,0
20150217T0000,34.412952,45.64495,38.434456,0,0
20150218T0000,31.406952,43.862953,36.6442,0,0
20150219T0000,31.17295,45.86095,37.6747,0,0
20150220T0000,36.89695,55.58095,43.089703,0,0
20150221T0000,37.99495,42.49495,40.062695,3.3000002,0
20150222T0000,37.09495,44.61895,39.955452,0,0
20150223T0000,33.38695,51.56695,40.983707,2.1000001,0
20150224T0000,39.02095,45.55495,41.4952,0.1,0
20150225T0000,35.70895,46.760952,40.609447,0.5,0.35
20150226T0000,35.996952,50.234955,42.343452,0,0
20150227T0000,38.300953,43.25095,40.321453,12.2,0
